facility_id,overture_id,facility_name,name_review_flag,county,city,county_source,centroid_lon,centroid_lat,area_ft2,label,subclass,confidence_score,confidence_tier,is_warehouse,warehouse_prob,source,scag_land_use_class,APN,costar_match_confidence,intensity_tier,is_high_cube,is_likely_crossdock,ops_start_year,year_source,year_confidence,lodes_onset_year,year_built,temporal_use,suspect_stale_year
SCAG-WH-00001,,,False,IMP,Unincorporated,original,-115.857354,32.790154,518176,confirmed,FI-IND,35.0,Medium,0,0.432,osm,industrial,034360091,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00002,488b7674-87a3-42e3-8b6b-11669eb49319,,False,IMP,Brawley,original,-115.520438,32.996424,165921,confirmed,FI-IND,35.0,Medium,0,0.402,overture,industrial,047010029,none,,,,,unknown,low,,,no_onset,False
SCAG-WH-00003,42a0a202-d410-40af-afb9-d92e749d2468,,False,IMP,Unincorporated,original,-115.379327,32.676707,151966,confirmed,FI-IND,55.0,Medium,0,0.42,overture,warehouse,059511013,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00004,ac2263f5-dfef-43d5-9c58-1d56cb652358,,False,IMP,Unincorporated,original,-115.379693,32.679132,122771,confirmed,FI-IND,35.0,Medium,0,0.424,overture,industrial,059395004,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00005,d3f4b054-a853-4d8c-bfee-c52ecfaa9c09,,False,IMP,Unincorporated,original,-115.380328,32.680462,116870,confirmed,FI-IND,35.0,Medium,0,0.398,overture,industrial,059394007,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00006,402b925f-9910-4e78-8aa5-34006794b799,,False,IMP,Unincorporated,original,-115.380079,32.677881,109233,confirmed,FI-IND,35.0,Medium,0,0.389,overture,industrial,059511006,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00007,b12fa654-a3c6-4c1a-9d6b-93a88d7b9c1c,,False,IMP,Imperial,original,-115.58133,32.827075,99356,confirmed,FI-IND,65.0,Medium,0,0.371,overture,warehouse,064330046,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00008,f2fe6159-965d-4457-a0dd-01ebc16901ac,,False,IMP,Brawley,original,-115.5257,32.99156,92630,candidate,candidate (unsubtyped),25.0,Medium,0,0.393,overture,industrial,047060039,none,,,,2020,lodes,medium,2020,,lodes8_artifact,False
SCAG-WH-00009,ab813731-911e-4a6e-b38d-807f1939db57,,False,IMP,El Centro,original,-115.54306,32.783422,88369,confirmed,U-DF,35.0,Medium,0,0.438,overture,industrial,053312044,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
SCAG-WH-00010,,,False,IMP,Holtville,original,-115.374586,32.809677,87321,candidate,candidate (unsubtyped),25.0,Medium,0,0.431,ms,industrial,045295003,none,,,,2003,lodes,medium,2003,,lodes7_truncation,False
